[17:13:07] Test # 22 | Scale:  80% | Res:  864x1536 | ABS:  15.0ms | Adj: -68.65ms
[17:13:08] Test # 23 | Scale:  80% | Res:  864x1536 | ABS:  15.5ms | Adj: -76.93ms
[17:13:08] Test # 24 | Scale:  80% | Res:  864x1536 | ABS:  11.5ms | Adj: -75.61ms
[17:13:08] Test # 25 | Scale:  80% | Res:  864x1536 | ABS:  15.0ms | Adj: -81.89ms
[17:13:08] Test # 26 | Scale:  80% | Res:  864x1536 | ABS:  14.0ms | Adj: -85.74ms
[17:13:08] Test # 27 | Scale:  80% | Res:  864x1536 | ABS:  13.5ms | Adj: -88.67ms
[17:13:08] Test # 28 | Scale:  80% | Res:  864x1536 | ABS:  12.5ms | Adj: -91.95ms
[17:13:08] Test # 29 | Scale:  80% | Res:  864x1536 | ABS:  14.0ms | Adj: -94.47ms
[17:13:08] Test # 30 | Scale:  80% | Res:  864x1536 | ABS:  12.5ms | Adj:  -96.7ms
[17:13:08] Test # 31 | Scale:  70% | Res:  756x1344 | ABS:  14.0ms | Adj: -102.04ms
[17:13:08] Test # 32 | Scale:  70% | Res:  756x1344 | ABS:  13.5ms | Adj: -100.56ms
[17:13:08] Test # 33 | Scale:  70% | Res:  756x1344 | ABS:  15.5ms | Adj: -101.92ms
[17:13:08] Test # 34 | Scale:  70% | Res:  756x1344 | ABS:  15.0ms | Adj: -108.4ms
[17:13:08] Test # 35 | Scale:  70% | Res:  756x1344 | ABS:  15.0ms | Adj: -110.41ms
[17:13:09] Test # 36 | Scale:  70% | Res:  756x1344 | ABS:  15.0ms | Adj: -111.39ms
[17:13:09] Test # 37 | Scale:  70% | Res:  756x1344 | ABS:  15.5ms | Adj: -117.25ms
[17:13:09] Test # 38 | Scale:  70% | Res:  756x1344 | ABS:  16.5ms | Adj: -117.38ms
[17:13:09] Test # 39 | Scale:  70% | Res:  756x1344 | ABS:  15.5ms | Adj: -118.07ms
[17:13:09] Test # 40 | Scale:  70% | Res:  756x1344 | ABS:  16.5ms | Adj: -127.6ms
[17:13:09] Test # 41 | Scale:  60% | Res:  648x1152 | ABS:  15.5ms | Adj: -127.43ms
[17:13:09] Test # 42 | Scale:  60% | Res:  648x1152 | ABS:  16.5ms | Adj: -134.63ms
[17:13:09] Test # 43 | Scale:  60% | Res:  648x1152 | ABS:  12.5ms | Adj: -129.26ms
[17:13:09] Test # 44 | Scale:  60% | Res:  648x1152 | ABS:  17.0ms | Adj: -139.72ms
[17:13:09] Test # 45 | Scale:  60% | Res:  648x1152 | ABS:  15.5ms | Adj:  -51.4ms
[17:13:09] Test # 46 | Scale:  60% | Res:  648x1152 | ABS:  15.5ms | Adj: -121.51ms
[17:13:09] Test # 47 | Scale:  60% | Res:  648x1152 | ABS:  61.0ms | Adj: -149.48ms
[17:13:09] Test # 48 | Scale:  60% | Res:  648x1152 | ABS:  13.0ms | Adj: -151.28ms
[17:13:09] Test # 49 | Scale:  60% | Res:  648x1152 | ABS:  14.5ms | Adj: -152.72ms
[17:13:10] Test # 50 | Scale:  60% | Res:  648x1152 | ABS:  17.0ms | Adj: -157.17ms
[17:13:10] Test # 51 | Scale:  50% | Res:  540x 960 | ABS:  18.0ms | Adj: -165.61ms
[17:13:10] Test # 52 | Scale:  50% | Res:  540x 960 | ABS:  14.0ms | Adj: -164.55ms
[17:13:10] Test # 53 | Scale:  50% | Res:  540x 960 | ABS:  16.5ms | Adj: -174.86ms
[17:13:10] Test # 54 | Scale:  50% | Res:  540x 960 | ABS:  17.0ms | Adj: -183.97ms
[17:13:10] Test # 55 | Scale:  50% | Res:  540x 960 | ABS:  12.0ms | Adj: -186.52ms
[17:13:10] Test # 56 | Scale:  50% | Res:  540x 960 | ABS:  14.0ms | Adj: -183.64ms
[17:13:10] Test # 57 | Scale:  50% | Res:  540x 960 | ABS:  16.5ms | Adj: -197.19ms
[17:13:10] Test # 58 | Scale:  50% | Res:  540x 960 | ABS:  12.5ms | Adj: -201.78ms
[17:13:10] Test # 59 | Scale:  50% | Res:  540x 960 | ABS:  12.0ms | Adj: -206.13ms
